,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,256,16,256,64,25,51.12,57.29,8.75,48.54
0,256,16,256,64,30,54.29,57.63,9.11,48.52
0,256,16,256,128,10,36.92,46.12,9.75,36.37
0,256,16,256,128,15,46.34,54.61,8.42,46.19
0,256,16,256,128,20,48.88,56.4,8.88,47.52
0,256,16,256,128,25,51.35,57.0,8.54,48.46
0,256,16,256,128,30,54.35,57.52,8.65,48.87
0,256,16,512,32,10,57.26,58.82,9.07,49.75
0,256,16,512,32,15,64.0,58.78,8.86,49.92
0,256,16,512,32,20,68.72,58.41,8.52,49.9
0,256,16,512,32,25,71.55,57.82,8.59,49.23
0,256,16,512,32,30,73.14,57.44,8.63,48.81
0,256,16,512,64,10,58.24,59.46,8.65,50.81
0,256,16,512,64,15,67.3,59.75,9.08,50.67
0,256,16,512,64,20,73.73,58.5,8.47,50.03
0,256,16,512,64,25,77.44,58.28,7.97,50.31
0,256,16,512,64,30,79.43,58.02,8.48,49.55
0,256,16,512,128,10,57.09,58.56,8.84,49.72
0,256,16,512,128,15,66.97,58.56,8.62,49.94
0,256,16,512,128,20,73.22,57.92,8.91,49.01
0,256,16,512,128,25,76.4,57.8,8.39,49.42
0,256,16,512,128,30,78.29,57.76,8.76,49.0
0,256,32,128,32,10,50.46,56.68,8.16,48.52
0,256,32,128,32,15,54.14,57.7,8.78,48.93
0,256,32,128,32,20,57.59,56.78,8.24,48.54
0,256,32,128,32,25,60.63,56.87,8.34,48.53
0,256,32,128,32,30,62.89,56.37,7.88,48.49
0,256,32,128,64,10,53.7,57.81,8.57,49.24
0,256,32,128,64,15,61.47,57.29,8.16,49.13
0,256,32,128,64,20,66.87,57.24,8.37,48.88
0,256,32,128,64,25,69.95,56.54,7.94,48.61
0,256,32,128,64,30,71.86,56.59,7.97,48.61
0,256,32,128,128,10,50.14,56.59,8.06,48.53
0,256,32,128,128,15,56.41,56.96,8.46,48.51
0,256,32,128,128,20,63.36,56.91,7.99,48.92
0,256,32,128,128,25,68.35,56.38,7.88,48.51
0,256,32,128,128,30,71.33,56.19,7.86,48.33
0,256,32,256,32,10,51.41,57.19,8.44,48.75
0,256,32,256,32,15,55.39,58.07,8.72,49.35
0,256,32,256,32,20,59.27,58.48,8.66,49.82
0,256,32,256,32,25,62.51,57.81,8.44,49.37
0,256,32,256,32,30,64.91,57.15,8.44,48.71
0,256,32,256,64,10,55.31,58.41,8.48,49.92
0,256,32,256,64,15,63.31,58.13,8.57,49.56
0,256,32,256,64,20,69.15,57.77,8.06,49.71
0,256,32,256,64,25,72.58,56.99,7.88,49.11
0,256,32,256,64,30,74.54,56.71,7.96,48.75
0,256,32,256,128,10,53.71,58.26,8.81,49.45
0,256,32,256,128,15,62.14,58.2,8.35,49.85
0,256,32,256,128,20,68.82,57.76,8.04,49.72
0,256,32,256,128,25,72.91,57.51,8.52,48.99
0,256,32,256,128,30,75.22,57.14,8.23,48.92
0,256,32,512,32,10,58.64,60.72,9.04,51.68
0,256,32,512,32,15,65.61,61.27,9.13,52.15
0,256,32,512,32,20,70.64,60.51,8.67,51.83
0,256,32,512,32,25,74.15,59.94,8.63,51.31
0,256,32,512,32,30,76.13,59.68,8.59,51.1
0,256,32,512,64,10,60.02,61.14,9.79,51.34
0,256,32,512,64,15,69.66,60.99,9.15,51.84
0,256,32,512,64,20,75.97,60.43,8.8,51.63
0,256,32,512,64,25,79.47,59.78,8.62,51.17
0,256,32,512,64,30,81.6,59.56,8.67,50.89
0,256,32,512,128,10,57.24,60.17,9.15,51.03
0,256,32,512,128,15,67.0,60.34,9.1,51.24
0,256,32,512,128,20,74.6,59.48,8.67,50.81
0,256,32,512,128,25,79.05,59.66,8.64,51.02
0,256,32,512,128,30,81.62,58.92,8.55,50.37
0,512,8,128,32,10,53.98,56.18,8.53,47.65
0,512,8,128,32,15,60.06,55.5,7.69,47.82
