,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,256,8,128,128,15,36.53,46.47,9.43,37.03
0,256,8,128,128,20,36.69,46.42,9.28,37.14
0,256,8,128,128,25,36.7,46.6,9.38,37.22
0,256,8,128,128,30,36.8,45.97,9.02,36.95
0,256,8,256,32,10,50.47,56.69,8.45,48.25
0,256,8,256,32,15,55.33,56.61,8.09,48.53
0,256,8,256,32,20,59.96,56.2,8.04,48.16
0,256,8,256,32,25,63.31,55.9,7.69,48.21
0,256,8,256,32,30,65.51,55.2,7.87,47.34
0,256,8,256,64,10,36.38,46.33,9.95,36.38
0,256,8,256,64,15,36.67,46.7,9.97,36.73
0,256,8,256,64,20,36.7,46.46,9.65,36.81
0,256,8,256,64,25,36.92,46.89,10.16,36.73
0,256,8,256,64,30,36.97,46.47,9.58,36.88
0,256,8,256,128,10,53.8,57.21,8.71,48.51
0,256,8,256,128,15,63.01,56.17,8.09,48.08
0,256,8,256,128,20,68.52,56.02,8.07,47.95
0,256,8,256,128,25,71.2,55.49,7.76,47.73
0,256,8,256,128,30,72.8,55.42,7.92,47.5
0,256,8,512,32,10,55.74,58.19,8.69,49.5
0,256,8,512,32,15,62.34,58.57,8.8,49.77
0,256,8,512,32,20,66.95,57.62,8.33,49.29
0,256,8,512,32,25,69.75,56.94,8.16,48.78
0,256,8,512,32,30,71.28,56.47,8.19,48.27
0,256,8,512,64,10,56.01,58.19,8.82,49.36
0,256,8,512,64,15,64.49,57.63,8.47,49.15
0,256,8,512,64,20,70.15,56.37,8.18,48.19
0,256,8,512,64,25,73.19,56.23,7.99,48.24
0,256,8,512,64,30,74.82,55.92,7.96,47.96
0,256,8,512,128,10,54.88,57.76,8.81,48.95
0,256,8,512,128,15,64.36,57.2,8.1,49.1
0,256,8,512,128,20,70.28,57.0,8.1,48.9
0,256,8,512,128,25,73.2,56.23,8.25,47.98
0,256,8,512,128,30,74.96,55.9,8.24,47.66
0,256,16,128,32,10,48.08,55.94,8.31,47.63
