Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement,,Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
470.lbm-s1.trace.gz,sisb_bo,99.98261489,17.51880024,24.73015642,17.52128519,0.743686,22.99201868,,,,,,,,,
471.omnetpp-s0.trace.gz,no,N/A,0,10.19428667,N/A,0.545717,N/A,,,,,,,,,
471.omnetpp-s0.trace.gz,bo,N/A,0,10.19428667,0,0.545717,0,,,,,,,,,
471.omnetpp-s0.trace.gz,sisb,99.90266528,47.40470505,5.367386667,47.34907069,0.586607,7.492894669,,,,,,,,,
471.omnetpp-s0.trace.gz,sisb_bo,27.01951757,32.35585095,12.20023333,-19.67716558,0.576351,5.613532289,,,,,,,,,
471.omnetpp-s0.trace.gz,yours,0.398902742,0.593239216,15.76796667,-54.67454646,0.517481,-5.174110391,,,,,,,,,
471.omnetpp-s1.trace.gz,no,N/A,0,17.05197661,N/A,0.315132,N/A,,,,,,,,,
471.omnetpp-s1.trace.gz,bo,22.58393751,23.05429862,14.68183995,13.97718923,0.330498,4.87605194,,,,,,,,,
471.omnetpp-s1.trace.gz,sisb,85.48528632,67.94813877,5.569449981,67.36786783,0.450792,43.04862724,,,,,,,,,
471.omnetpp-s1.trace.gz,sisb_bo,50.77524761,64.27303608,6.70814,60.69613497,0.433658,37.61154056,,,,,,,,,
471.omnetpp-s2.trace.gz,no,N/A,0,7.468323308,N/A,0.444527,N/A,,,,,,,,,
471.omnetpp-s2.trace.gz,bo,16.76685258,2.699185041,8.91868997,-19.4202447,0.442467,-0.463413921,,,,,,,,,
471.omnetpp-s2.trace.gz,sisb,99.42067103,40.77902147,4.468589985,40.16608815,0.460285,3.544891536,,,,,,,,,
471.omnetpp-s2.trace.gz,sisb_bo,31.23576609,33.36566739,16.08576328,-115.3865415,0.44375,-0.174792532,,,,,,,,,
473.astar-s0.trace.gz,no,N/A,0,1.45990999,N/A,1.00784,N/A,,,,,,,,,
473.astar-s0.trace.gz,bo,N/A,0,1.45990999,0.000228324,1.00784,0,,,,,,,,,
473.astar-s0.trace.gz,sisb,88.66579249,29.16984964,1.05082666,28.02129807,1.06225,5.398674393,,,,,,,,,
473.astar-s0.trace.gz,sisb_bo,88.66579249,29.16984964,1.05082666,28.02129807,1.06225,5.398674393,,,,,,,,,
473.astar-s0.trace.gz,yours,43.04547214,30.28435159,1.126493326,22.838342,1.05859,5.035521511,,,,,,,,,
473.astar-s1.trace.gz,no,N/A,0,2.319939992,N/A,0.447842,N/A,,,,,,,,,
473.astar-s1.trace.gz,bo,81.30139072,1.150579528,2.293583326,1.228055065,0.448643,0.178857722,,,,,,,,,
473.astar-s1.trace.gz,sisb,64.47259752,28.77207662,1.668449994,28.14908919,0.465575,3.959655414,,,,,,,,,
473.astar-s1.trace.gz,sisb_bo,65.36052664,30.23632759,1.634123328,29.62734881,0.466733,4.21822875,,,,,,,,,
473.astar-s2.trace.gz,no,N/A,0,43.7193529,N/A,0.131116,N/A,,,,,,,,,
473.astar-s2.trace.gz,bo,51.56109999,6.398765482,41.13490292,5.95892101,0.13398,2.18432533,,,,,,,,,
473.astar-s2.trace.gz,sisb,94.24513303,36.32178754,27.93841639,36.12823574,0.180245,37.469874,,,,,,,,,
473.astar-s2.trace.gz,sisb_bo,69.42347757,36.46482863,28.09528639,35.76960541,0.178046,35.79273315,,,,,,,,,
482.sphinx3-s0.trace.gz,no,N/A,0,12.49652329,N/A,0.661523,N/A,,,,,,,,,
482.sphinx3-s0.trace.gz,bo,78.28970881,71.31485993,3.630296655,70.95969434,1.09398,65.37293488,,,,,,,,,
482.sphinx3-s0.trace.gz,sisb,96.23008614,76.52939784,2.939136657,76.48858068,1.18295,78.8222027,,,,,,,,,
482.sphinx3-s0.trace.gz,sisb_bo,85.3076635,75.05636858,3.14697999,74.82595239,1.16479,76.07702227,,,,,,,,,
482.sphinx3-s0.trace.gz,yours,65.51542925,43.26462273,7.144269976,42.84990909,0.859326,29.90115234,,,,,,,,,
482.sphinx3-s1.trace.gz,no,N/A,0,11.40359659,N/A,0.735498,N/A,,,,,,,,,
482.sphinx3-s1.trace.gz,bo,83.26394069,72.22075903,3.294313311,71.11536068,1.2006,63.23633783,,,,,,,,,
482.sphinx3-s1.trace.gz,sisb,97.51842752,77.61632707,2.575383316,77.41896075,1.29626,76.24249148,,,,,,,,,
482.sphinx3-s1.trace.gz,sisb_bo,88.8125399,75.58679984,2.867899981,74.85416574,1.26835,72.44778368,,,,,,,,,
482.sphinx3-s2.trace.gz,no,N/A,0,13.34678,N/A,0.591671,N/A,,,,,,,,,
482.sphinx3-s2.trace.gz,bo,71.4216239,69.24815616,4.12827,69.1199769,0.975865,64.93372161,,,,,,,,,
482.sphinx3-s2.trace.gz,sisb,95.29845597,76.55464729,3.12839,76.59921578,1.08078,82.66570442,,,,,,,,,
482.sphinx3-s2.trace.gz,sisb_bo,80.48770055,75.37495898,3.299076667,75.32245622,1.05923,79.02347757,,,,,,,,,
