Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
473.astar-s1.trace.gz,bo,81.30139072175415,1.150579527758144,2.2935833256880556,1.2280550650991156,0.448643,0.17885772214307638
473.astar-s1.trace.gz,sisb,64.47259751979414,28.772076621940652,1.6684499944385,28.149089186512207,0.465575,3.959655414186253
473.astar-s1.trace.gz,sisb_bo,65.3605266395964,30.23632759413187,1.6341233278862557,29.627348807831982,0.466733,4.218228750318191
459.GemsFDTD-s1.trace.gz,no,N/A,0.0,26.3699364029673,N/A,0.438683,N/A
459.GemsFDTD-s1.trace.gz,yours,99.81252933647261,26.772476285365908,19.3099464735672,26.776891365198257,0.487296,11.081578269502128
459.GemsFDTD-s1.trace.gz,bo,74.75200055969677,72.83933301536571,7.1714499282855,72.80593926623744,0.747299,70.35057205316825
459.GemsFDTD-s1.trace.gz,sisb,64.45028418577348,18.538744908038854,21.4853297851467,18.52786132442806,0.454549,3.6167346352605394
459.GemsFDTD-s1.trace.gz,sisb_bo,75.62054352140315,66.18352107596682,8.9268199107318,66.14959523675601,0.686568,56.506634631385296
459.GemsFDTD-s2.trace.gz,no,N/A,0.0,27.436839908543867,N/A,0.373209,N/A
459.GemsFDTD-s2.trace.gz,yours,99.97282863232921,33.972145606190914,18.1161964855047,34.004729682552686,0.441227,18.225176777623254
459.GemsFDTD-s2.trace.gz,bo,89.5813367553573,63.56610868923758,10.050849966497168,63.3858819886524,0.560398,50.15661465827457
459.GemsFDTD-s2.trace.gz,sisb,86.14358243192932,31.21192019890388,18.95272327015759,30.95735696353165,0.400675,7.3594152338234045
459.GemsFDTD-s2.trace.gz,sisb_bo,90.76286939485598,65.18431187233017,9.602346634658845,65.01972927272782,0.550082,47.39247981693902
473.astar-s2.trace.gz,no,N/A,0.0,43.7193528961398,N/A,0.131116,N/A
473.astar-s2.trace.gz,yours,99.36604865471176,34.13728753219844,28.799283045340502,34.16015453240124,0.177778,35.588333994325616
473.astar-s2.trace.gz,bo,51.561099994254825,6.398765481728357,41.1349029219843,5.958921010489977,0.13398,2.1843253302419057
473.astar-s2.trace.gz,sisb,94.24513303033977,36.32178754006135,27.9384163872825,36.1282357393366,0.180245,37.46987400469811
473.astar-s2.trace.gz,sisb_bo,69.42347757312963,36.46482862677084,28.095286385713802,35.769605406805105,0.178046,35.79273315232313
429.mcf-s1.trace.gz,no,N/A,0.0,89.58291970139027,N/A,0.0621301,N/A
429.mcf-s1.trace.gz,yours,80.86971679445128,39.715854124651386,55.60804314797319,37.93171355313168,0.078978,27.117130022324133
429.mcf-s1.trace.gz,bo,N/A,0.0,89.58291970139027,0.009818616043939344,0.0621301,0.0
429.mcf-s1.trace.gz,sisb,44.18339957588483,5.851739935977732,79.54819640150602,11.210322085207654,0.0649805,4.587792390483833
429.mcf-s1.trace.gz,sisb_bo,44.18339957588483,5.851739935977732,79.54819640150602,11.210322085207654,0.0649805,4.587792390483833
429.mcf-s0.trace.gz,no,N/A,0.0,77.02999,N/A,0.0766722,N/A
429.mcf-s0.trace.gz,yours,77.07597775031525,38.73852750219968,48.36173,37.31585625278969,0.095728,24.853597522961383
429.mcf-s0.trace.gz,bo,N/A,0.0,77.02999,0.15743923953563255,0.0766722,0.0
429.mcf-s0.trace.gz,sisb,64.38687968262612,33.276713420375245,50.71883666666667,34.26068818661751,0.088298,15.16299258401351
429.mcf-s0.trace.gz,sisb_bo,62.982378314660004,33.179522660432355,50.80987,34.14269516708628,0.0883091,15.177469800005747
410.bwaves-s0.trace.gz,no,N/A,0.0,22.824276514504824,N/A,0.619798,N/A
410.bwaves-s0.trace.gz,yours,100.0,16.2210616970264,19.121936666666667,16.221220756339438,0.692407,11.714945837192124
410.bwaves-s0.trace.gz,bo,99.23418645360098,77.74105437149305,5.080443333333333,77.7410966314294,1.08862,75.64109596997731
410.bwaves-s0.trace.gz,sisb,99.97715630229065,7.670037201627916,21.07363985950907,7.670239463870124,0.670622,8.200090997389488
